Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
Crew 190  17th March 2018,SOL  6,Bastien BAIX,,,,99,45%,81%,2 empty jerrycans.,,132 303.3,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,YES,25.1,89%,100%,YES,NO,24.1,100%,,NO,YES,19.3,86%,100%,YES,NO,116.6,100%,,NO,,_,,,,250 Mb remaining,,Ariane  Sophie   Bastien working on their experiments,,Martin  Maximilien   Fred working on their experiments.,,the muon detector of Sophie is remotely controlled from the Hab,,
Crew 190  16th March 2018,SOL  5,Bastien BAIX,,,,95,45%,81%,2 empty jerrycans.,,132 251.9,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,24.8,100%,,NO,NO,24.1,100%,,YES,NO,18.1,100%,,YES,NO,116.6,100%,,NO,,_,,,,200 Mb remaining,,Ariane  Mario   Bastien working on their experiments,,Martin  Maximilien   Fred working on their experiments.,,Sophie adjusting her muon detector,,
Crew 190  14th March 2018,SOL  3,Bastien BAIX,,,,69,45%,81%,2 empty jerrycans.,,132 142.7,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,24.8,100%,,NO,YES,21.5,37%,100%,YES,NO,17 2,100%,,YES,NO,116.6,100%,,NO,,2 hours,,,,300 Mb remaining,,Ariane   Bastien working on their experiments,Mario   Maximilien    Fred working on their experiments,Martin  Sophie   Michael working on their experiments.,,,a crewmember had a headache and another one cut himself herself,
Crew 190  13th March 2018,SOL  2,Bastien BAIX,,,,84,45%,82%,2 empty jerrycans.,,132 074.2,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,24.8,100%,,NO,NO,20.6,100%,,YES,YES,17 2,76%,100%,YES,NO,116.6,100%,,NO,,1 hour,,,,200 Mb remaining,,Ariane   Bastien working on their experiments,Mario   Fred working on their experiments. Aquaponic fish seedlings did not sprout. Suspected due to cold water. Pump turned on and hydroponic solution added to rectify.,Martin  Sophie  Maximilien,,,HSO first report submitted,
Here is my second engineering report  feel free to give me feedback  Crew 190  12th March 2018,SOL  1,Bastien BAIX,,,,Generator  hours run   Turned off at 10 am and turned on at 7.08 pm.     82,45%,82%,2 empty jerrycans.,,132 014.3,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,YES,24.8,99%,100%,YES,YES,20.6,98%,100%,YES,NO,16.5,100%,,NO,NO,116.6,100%,,NO,,2 hours,,,,300 Mb remaining,,Ariane   Bastien working on their experiments Summary of GreenHab operations  Mario s project    hydroponic culture  Summary of ScienceDome operations  Martin  Fred   Michael working on their experiments.,Summary of Hab operations  Ariane   Bastien working on their experiments   Mario s project    hydroponic culture  Summary of ScienceDome operations  Martin  Fred   Michael working on their experiments.,Summary of Hab operations  Ariane   Bastien working on their experiments Summary of GreenHab operations  Mario s project    hydroponic culture    Martin  Fred   Michael working on their experiments.,,,,
Crew 190  11th March 2018,SOL  0,Bastien BAIX,,,,79,45%,psi.,2 empty jerrycans.,,131 952.2,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,YES,24.4,70%,,YES,YES,20.4,71%,,YES,YES,16.5,69%,,NO,NO,116.6,100%,,NO,,2 hours,HabCar was used to get water in Hanksville,,we cleaned up the third water tank and,400 Mb remaining,,settle in,,,,,,
Crew 189  10March2018,SOL  20,Gabriel PAYEN,,,,71,%,psi.,5 .,,131 903.2,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,,,,,YES,19.5,100%,57%,YES,NO,,,,,YES,116.6,100%,85%,YES,,2 hours,,,,,,,,,,,,
Crew 189  6March2018,SOL  16,Gabriel PAYEN,,,,72,47 %,21 psi.,9.5 .,,131 724.2,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,YES,Start   21.9   End   23,100%,70%,YES,NO,,100,,NO,NO,18,100%,,NO,YES,Start   112.7   End   113.8,100%,86%,YES,,3,used to get aquaponics supplies and packages from crew 190,,,,,,,,,,,
Here is my  for sol 15,SOL  15,Gabriel PAYEN,,,,79,48 %,23 psi.,10 .,,131 684.0,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,22.4,100%,,YES,NO,18.0,100%,,YES,NO,15.4,100%,,NO,NO,113.2,100%,,NO,,2h30,,,,,,,,,,,,
Here is my  for sol 15,SOL  15,Gabriel PAYEN,,,,79,48 %,23 psi.,10 .,,131 684.0,,Water  loft       YES,,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,22.4,100%,,YES,NO,18.0,100%,,YES,NO,15.4,100%,,NO,NO,113.2,100%,,NO,,2h30,,,,,,,,,,,,
Crew 189  4March2018,SOL  14,Gabriel PAYEN,,,,88,49 %,25 psi.,3 .,,131 656.6,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,,,,,NO,,,,,NO,,,,,NO,,,,,,,Used to get 120 water  for garbage and to stored parts of the aquaponics system,,,,,,,,,,,
Crew 189  1 March 2018,SOL  11,Gabriel PAYEN,Pipe leak  radios,,,Generator  hours run   Generator turned off at 4 00 AM and turned on at 6 15 AM,Not checked,28 psi.,5 .,,131 570.2,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,21.9,100%,NA,YES,NO,18.0,100%,NA,NO,NO,15.3,100%,NA,YES,NO but back after being repaired,112.7,100%,NA,,,3 hours,Used to get a load of 110 gallons and for garbage,,,,,,,,,,,
Crew 189  27Feb2018,SOL  9,PAYEN Gabriel,Pipe leak  tires compressor,,,72,52%,30 psi.,5  50% each  .,,131 505.9,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,,,,YES,NO,18,100%,100%,YES,YES,Beginning of the EVA   15.2   end of the EVA   15.3,Hours  Beginning of the EVA   15.2   end of the EVA   15.3,99%,YES,NO,,,,,,30min,,,,,,,,,,,,
Crew 189  26Feb2018,SOL  8,Gabriel PAYEN,Pipe leak  radio,,,85%,Too dark to see,Too dark to see,5 .,,131 473.9,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,,,,,NO,,,,,NO,Beginning of the EVA   13.3   End of the EVA   13.7,Hours  Beginning of the EVA   13.3   End of the EVA   13.7,87%,YES,NO,,,,,,3 hours,,,,,,,,,,,,
Crew 189  25Feb2018,SOL  7,Gabriel PAYEN,,,,96%,55 %,32 psi.,,,131 439.1,,Water  loft       YES,,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,,,,,NO,,,,,NO,,,,,NO,,,,,,,,,,,,,,,,,,
Crew 189  21 02 2018,SOL  3,Gabriel PAYEN,Pipe leak  Fans on backpack 2   6  roof heater  light bulb in the bathroom  hesitation about burnable unburnable trashes.,,,,70 %,39 psi.,7 .,,131 293.2,,Water  loft       YES,,,YES,,,,,,,,,,,NO,,,,,YES,16.8,100%,75%,YES,NO,,,,,NO,,,,,,3 hours,NO,,,CapCom Bernard wanted some information about  Hab Router. I gave him it by email.,Backpack 2   6 put aside.,,Jeremy  GreenHab officer  began to set the new shade with the help of other crew members.,,,,,
Crew 189  21Feb2018,SOL  2,PAYEN Gabriel,Backpack 3,,,panels   70without generator running,70%,40 psi.,7 .,,0.26m,,Water  loft       YES,,,NO,,,,,,,,,,,NO,20.3,100%,100%,NO,YES,16.6,100%,45%,YES,NO,100%,,,NO,YES,109.1,100%,100%  the EVA team doesn t travel a lot,YES,,NO,,,,,,,,,,,,
Crew 189  20Feb2018,SOL  2,PAYEN Gabriel,Backpack 3,,,panels   70without generator running,70%,40 psi.,7 .,,0.26m,,Water  loft       YES,,,NO,,,,,,,,,,,NO,20.3,100%,100%,NO,YES,16.6,100%,45%,YES,NO,100%,,,NO,YES,109.1,100%,100%  the EVA team doesn t travel a lot,YES,,NO,,,,,,,,,,,,
Crew 189  19Feb2018,SOL  1,Gabriel PAYEN,Roof heater  pipe leak in low deck  ethernet hub  fan of backpack 4,,,83% at 9 AM,70%,,7 .,,0.24m,,Water  loft       YES,,,NO,,,,,,,,,,,NO,20.3,100%,100%,,YES,15.7,100%,85%,YES,NO,12.7,100%,100%,NO,YES,109.1,100%,93%,YES,,None,,,Very busy today with my own experiments. As soon as possible  from sol 3 I hope  I ll begin to deal with non nominal systems  fan  pipe  hub  furnace  .,,,,,,,,,
Crew 189  18Feb2018,SOL  0,Gabriel PAYEN,Pipe leak in low deck  water heater  two thermometers in the Greenhab.,,,91%,,46.2 psi.,7   estimation based the total height and capacity of the container,,loft    0.44  measurement at 7 PM,,Water  loft       Yes,,,No,,,,,,,,,,,No,20.2,,,Yes  Atilia may have unplugged Curiosity to plug in Spirit,Yes,15.3,not checked,93%  100% after being charged,No,Currently charging  Yes  Atilia may have unplugged Curiosity to plug in Spirit,15.3,not checked,93%  100% after being charged,No,Yes,108.7,not checked,98%,No,,All  used except the one which doesn t work  I forgot to check its number,Not used,,Last checks today with Shannon  some things to fix  see Non nominal systems . Jérémy tried to run his aerosol counter device  LOAC  in the Hab but it doesn t work. It turns on but doesn t begin counting. The crew will try to fix it tomorrow.,,All air pipes had been tested and only one doesn t work  backpack 3   left one . All radios had been tested and work,,,,,,,
,SOL  7,Shannon Rupert  for Crew 189,Power System Control,Nothing new to report,,79,not checked %,not checked psi.,not quite 10 . Some were used to fill the tanks for ATV training.,,not recorded,,Water  loft       yes,,,no,,,,,,Yes,,,,yes,Yes,,,,yes,Yes,,,,no,No,,,,No,Yes,,,,no,,1,Yes  to town to pick up food and meet crew,,The incoming crew did an awesome job of cleaning the Hab as soon as they arrived.,Nothing to report,Nothing to report,The installation of the stairs  ladders  and railings is complete. While we were going to send photos tonight  the crew would like to wait until tomorrow to send good ones.,The hydroponics system had a leak and most of the water was lost overnight. We are currently troubleshooting a solution for the project.,We did more lab work this morning and afternoon working on the halophile research. Eight samples x3 have been plated on 10% NaCl LB.,,Atila will be working in the RAM beginning tomorrow.,Nothing to report,Nothing at this time
Crew IKEA  16 Feb 2018,SOL  6,Shannon Rupert,Power System Control,Nothing new to report,,98,72 %,46 psi.,10 .,,not recorded,,Water  loft       yes,,,no,,,,,,No,,,,yes,Yes,20.2,100,75,No,Yes,14.9,,,Yes,No,,,,No,Yes,,100,96,Yes,,0,Yes. To town for water for the,,How did it get to be Friday already,Nothing to report,Nothing to report,Installations of the stairs is almost,Hydroponics  no fish  set up complete,We did some lab work this morning.,,Nothing to report,Nothing to report,Nothing at this time
Crew IKEA  15 Feb 2018,SOL  5,Shannon Rupert,Power System Control,Nothing new to report,,not checked,72 %,47 psi.,0 .,,not recorded,,Water  loft       yes,,,no,,,,,,No,,,,yes,Yes,20.2,100,75,No,Yes,14.9,,,Yes,No,,,,No,Yes,,100,96,Yes,,0,Yes  to town for packages. New jumper cables arrived for HabCar. Other set is in Hab.,,Septic tank is almost full. Pumping it out is scheduled for Monday. New battery charger  to replace the one that arrived broken  arrived today and will be stored in the RAM.,Nothing to report,Nothing to report,The front airlock door was left unsecured while the contractors were working and the window got blown out again. We will fix it before the crew arrives.,Nothing to report,Nothing to report,,Electrical connection has been scheduled for 3 6 weeks out.,Nothing to report,Nothing at this time
Crew IKEA  14 Feb 2018,SOL  4,Shannon Rupert,Power System Control,Nothing new to report,,99,72 %,48 psi.,0 .,,not recorded,HabCar used and why  where  Yes  moved to Hab to pump the remaining  into the . My truck is dead  apparently the battery has gone bad as there is battery acid on top  and so tomorrow we will use the HabCar to go to town and get a new battery for the truck and also pick up the packages that are in town.,Water  loft       yes,,,no,,,,,,No,,,,yes,Yes,Moved to another parking space,,,No,No,,,,Yes,Yes,Moved to another parking space,,,No,Yes,moved to another parking space,,,No,,0,Yes  moved to Hab to pump the remaining water into the static tank. My truck is dead  apparently the battery has gone bad as there is battery acid on top  and so tomorrow we will use the HabCar to go to town and get a new battery for the truck and also pick up the packages that are in town.,,Still muddy most of the day but a strong wind later in the afternoon has dried things out quickly.,Nothing to report,Nothing to report,The new stairs and ladders arrived  The contractors began installation and one of the two ladders has been put into place. They are currently bare metal only. We will need to decide which looks best  polished steel or paint. It looks like we will not have time to finish them before the crew arrives on Saturday  so we won t have to decide right away. Finishing them will probably happen in early May.,Atila continued working on the aquaponics set up and the reorganization of plants. We harvested some greens for salads tonight  and eyed the cucumbers. They may not last until the crew arrives  In addition  we doubled up the pots for the plants in an effort to maintain moisture in the soil longer. In the future  potting soil should be mixed with perlite to ameliorate this problem.,Nothing to report,,Nothing to report,Nothing to report,Nothing at this time
Crew IKEA  13 Feb 2018,SOL  3,Shannon Rupert,Power System Control,nothing new to report,,not known %,did not check %,did not check psi.,0 .,,not recorded,,Water  loft       no,,,no,,,,,,No,,,,yes,No,,,,Yes,No,,,,Yes,No,,,,No,No,,,,No,,0,No,,It rained overnight and was cloudy most of,nothing to report,nothing to report,nothing to report,nothing to report,nothing to report,,nothing to report,When it is muddy here  it is very,None at this time.
Crew IKEA  12 Feb 2018,SOL  2,Shannon Rupert,Power System Control,nothing new to report,,82 %,75 %,49 psi.,0 .,,not recorded,,Water  loft       yes,,,no,,,,,,Yes,,100,73,yes,No,,,,Yes,Yes,14.3,100,64,Yes,Yes,12.5,100,98,No,No,,,,No,,0,Yes  to town for water,,We continued working on the Ikea project today.,Nothing to report,Nothing to report,Nothing to report,Atila continues his work on the GreenHab and will be sending a GreenHab Report tonight. The grow lights were operating on a different schedule than they should have been on  so we are changing the extra hours on the lights from 7 9 pm to reflect the longer days.,Nothing to report,,Nothing to report,Nothing to report,Okay  mathletes  this is for you
Crew IKEA  11 Feb 2018,SOL  1,Shannon Rupert,Power System Control,Waiting for contractor to troubleshoot,,92 %,did not check %,did not check psi.,0 .,,not recorded,,Water  loft       no,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,no,No,,,,not sure,No,,,,yes  electrical power was restored to the parking,No,,,,Not sure,No,,,,not sure,,0,No,,Crew 188 left the Hab at 8 30 am this,nothing to report,nothing to report,The Hab is in very good condition. We,Atila spent the afternoon working on,There was new damage to the floor,,Nothing to report. We are hoping the,nothing to report,None at this time.
,,,electrical system  electrical cords  propane  EVA Suits,See individual systems at the end of the report.,,80%,72%,Non Nominal Systems  electrical system  electrical cords    EVA Suits,3,,,,Water  loft      Yes,,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,No,19.5h,,,No,No,19.1h,,,No,No,12.0h,,,No,No,Hours  108.1,,,No,,Yes,No,,,Tests were run on  internet connectivity and passed on to Bernard.,I ve passed on a report about the EVA suits,Propane was smelt again this afternoon around 4pm. The heater had been turned off for 24 hours  and nothing else was on. I strongly suggest a licensed contractor investigate the propane leak before another team moves into Hab. There is a significant safety risk as we have not been able to pinpoint the source of the leak.,The temperature gauge display has some non functional LCD areas  a new one has been ordered.,,,Not Operational.,Nominal,We could use another bag of toilet deodorizer  as we only have one puck left.
,,,electrical system  electrical cords,See individual systems at the end of the report.,,80%,75%,61 psi,8,,,,Water  loft      Yes,,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,No,18.0h,N A,N A,No,No,13.5,N A,N A,No,No,11.3h,N A,N A,No,No,Hours  108.1,N A,N A,Yes,,None,Not,,We are rotating the Rovers with the one plug in we have  and that should be sufficient if we are taking 2 rovers at a time per EVA.,Internet connectivity continues to be a problem even with  data purchased. Devices are having troubles connecting and this is limiting the crew s ability to monitor the CapCom emails,The clasp on Suit 1 was bent back to place  it s as good as new.,Nominal,The temperature gauge display has some non functional LCD areas  a new one has been ordered.,,,Not Operational.,Nominal,We could use another bag of toilet deodorizer  as we only have one pack left.
